"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:language","tax:post_translations","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","meta:wpseo_global_identifier_values","attribute:pa_akku","attribute_data:pa_akku","attribute_default:pa_akku","attribute:pa_anzahl-aufsaetze","attribute_data:pa_anzahl-aufsaetze","attribute_default:pa_anzahl-aufsaetze","attribute:pa_bruttogewicht-inkl-verp","attribute_data:pa_bruttogewicht-inkl-verp","attribute_default:pa_bruttogewicht-inkl-verp","attribute:pa_farbe","attribute_data:pa_farbe","attribute_default:pa_farbe","attribute:pa_fassungsvermoegen","attribute_data:pa_fassungsvermoegen","attribute_default:pa_fassungsvermoegen","attribute:pa_filtereinsatz","attribute_data:pa_filtereinsatz","attribute_default:pa_filtereinsatz","attribute:pa_geraeuschentwicklung","attribute_data:pa_geraeuschentwicklung","attribute_default:pa_geraeuschentwicklung","attribute:pa_gewicht","attribute_data:pa_gewicht","attribute_default:pa_gewicht","attribute:pa_ladezeit","attribute_data:pa_ladezeit","attribute_default:pa_ladezeit","attribute:pa_laufzeit-leistung-eco","attribute_data:pa_laufzeit-leistung-eco","attribute_default:pa_laufzeit-leistung-eco","attribute:pa_masse-des-produktes","attribute_data:pa_masse-des-produktes","attribute_default:pa_masse-des-produktes","attribute:pa_saugleistung","attribute_data:pa_saugleistung","attribute_default:pa_saugleistung","attribute:pa_saugstaerke","attribute_data:pa_saugstaerke","attribute_default:pa_saugstaerke","attribute:pa_saugstufen","attribute_data:pa_saugstufen","attribute_default:pa_saugstufen","attribute:pa_staubbeutel","attribute_data:pa_staubbeutel","attribute_default:pa_staubbeutel","attribute:pa_staubsaugertyp","attribute_data:pa_staubsaugertyp","attribute_default:pa_staubsaugertyp"
"ZB 7225 1x E12 Abluftfilter & 1x Motorschutzfilter","zb-7225-1x-e12-abluftfilter-1x-motorschutzfiltergeeignet-fuer-severin-hv-7166-2-teiliges-filterset-1x-e12-abluftfilter-1x-motorschutzfilter-schuetzt-das-geraet-langfristig-der-motorfilter-sorgt-fu","256","","Das 2-teilige Filterset besteht aus einem E12 Abluftfilter  und einem Motorschutzfilter. Der Motorfilter schützt den Akkustaubsauger HV 7166 langfristig und sorgt für eine längere Lebensdauer des Staubsaugers. Er verhindert Beschädigungen des Motors durch feinen Staub. Der Abluftfilter sorgt für eine Filtration von 99,5% aller Allergene und Feinstaubpartikel.","publish","0","2022-03-11 17:16:21","0","1","open","7225000","no","no","","100","outofstock","no","yes","24.99","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/03/severin-zb-7225-1x-e12-abluftfilter-1x-motorschutzfilter.png","","de-de","","simple","outofstock","Haushalt > Staubsauger > Zubehör","","","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster Bundle","toaster-bundle","326","","","publish","0","2022-03-13 11:02:11","0","1","open","","no","yes","","","instock","no","no","120","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","","","de-de","","bundle","outofstock","Küche > Kochen > Toaster","","","158","{""gtin8"":"""",""gtin12"":"""",""gtin13"":"""",""gtin14"":"""",""isbn"":"""",""mpn"":""""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000-7","6473","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-04-03 18:12:55","0","1","closed","29","no","no","","0","outofstock","no","yes","101","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","","","simple","outofstock","Unkategorisiert","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster Upsell","toaster-upsell-3","6476","","","publish","0","2022-04-03 18:12:55","0","1","closed","47","no","no","","0","outofstock","no","yes","10","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","","","","","simple","outofstock","Unkategorisiert","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster Zubehör Crosselling","toaster-zubehoer-crosselling-3","6479","","","publish","0","2022-04-03 18:12:55","0","1","closed","48","no","no","","0","outofstock","no","yes","50","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","","","","","simple","outofstock","Unkategorisiert","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000-8","6482","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-04-03 18:12:55","0","1","closed","152","no","no","","0","outofstock","no","yes","101","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","","","simple","outofstock","Uncategorized","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000-9","6485","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-04-03 18:12:55","0","1","closed","155","no","no","","0","outofstock","no","yes","101","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","","","simple","outofstock","Uncategorized","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000-10","6488","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-04-03 18:12:55","0","1","closed","158","no","no","","0","outofstock","no","yes","101","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","","","simple","outofstock","Uncategorized","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000-11","6491","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-04-03 18:12:55","0","1","closed","161","no","no","","0","outofstock","no","yes","101","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","","","simple","outofstock","Uncategorized","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HV 7166 Kabelloser 2-in-1 Hand- und Stielsauger - Weiss-Rot","hv-7166-kabelloser-2-in-1-hand-und-stielsauger-weiss-rot-3","6494","","","publish","0","2022-04-03 18:12:55","0","1","closed","249","no","no","","4","instock","no","yes","269","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-frontal.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7168-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-elektrobuerste.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-zuehoer.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-wandhalterung.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-mood.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-entleerung.png","","","","simple","","Haushalt > Staubsauger > Akkustaubsauger|Haushalt|Haushalt > Staubsauger","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
