"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:language","tax:post_translations","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","meta:wpseo_global_identifier_values","attribute:pa_akku","attribute_data:pa_akku","attribute_default:pa_akku","attribute:pa_anzahl-aufsaetze","attribute_data:pa_anzahl-aufsaetze","attribute_default:pa_anzahl-aufsaetze","attribute:pa_bruttogewicht-inkl-verp","attribute_data:pa_bruttogewicht-inkl-verp","attribute_default:pa_bruttogewicht-inkl-verp","attribute:pa_farbe","attribute_data:pa_farbe","attribute_default:pa_farbe","attribute:pa_fassungsvermoegen","attribute_data:pa_fassungsvermoegen","attribute_default:pa_fassungsvermoegen","attribute:pa_filtereinsatz","attribute_data:pa_filtereinsatz","attribute_default:pa_filtereinsatz","attribute:pa_geraeuschentwicklung","attribute_data:pa_geraeuschentwicklung","attribute_default:pa_geraeuschentwicklung","attribute:pa_gewicht","attribute_data:pa_gewicht","attribute_default:pa_gewicht","attribute:pa_ladezeit","attribute_data:pa_ladezeit","attribute_default:pa_ladezeit","attribute:pa_laufzeit-leistung-eco","attribute_data:pa_laufzeit-leistung-eco","attribute_default:pa_laufzeit-leistung-eco","attribute:pa_masse-des-produktes","attribute_data:pa_masse-des-produktes","attribute_default:pa_masse-des-produktes","attribute:pa_saugleistung","attribute_data:pa_saugleistung","attribute_default:pa_saugleistung","attribute:pa_saugstaerke","attribute_data:pa_saugstaerke","attribute_default:pa_saugstaerke","attribute:pa_saugstufen","attribute_data:pa_saugstufen","attribute_default:pa_saugstufen","attribute:pa_staubbeutel","attribute_data:pa_staubbeutel","attribute_default:pa_staubbeutel","attribute:pa_staubsaugertyp","attribute_data:pa_staubsaugertyp","attribute_default:pa_staubsaugertyp"
"EK 3164 Eierkocher - Weiss","ek-3164-eierkocher-weiss","6663","","","publish","0","2022-04-03 19:27:44","0","1","open","3164000","no","no","visible","100","instock","no","yes","29.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eierkocher","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK 3165 Eierkocher - Schwarz","ek-3165-eierkocher-schwarz","6666","","","publish","0","2022-04-03 19:27:44","0","1","open","3165000","no","no","visible","100","instock","no","yes","29.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eierkocher","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK 3166 Eierkocher mit Kochzeitüberwachung - Schwarz","ek-3166-eierkocher-mit-kochzeitueberwachung-schwarz","6669","","","publish","0","2022-04-03 19:27:44","0","1","open","3166000","no","no","visible","100","instock","no","yes","34.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eierkocher","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK 3167 Eierkocher mit Kochzeitüberwachung - Edelstahl","ek-3167-eierkocher-mit-kochzeitueberwachung-edelstahl","6672","","","publish","0","2022-04-03 19:27:44","0","1","open","3167000","no","no","visible","100","instock","no","yes","44.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eierkocher","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK 3168 Eierkocher mit Kochzeitüberwachung - Rot-metallic","ek-3168-eierkocher-mit-kochzeitueberwachung-rot-metallic","6675","","","publish","0","2022-04-03 19:27:44","0","1","open","3168000","no","no","visible","100","instock","no","yes","44.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eierkocher","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SV 2451 Sous Vide Stick","sv-2451-sous-vide-stick","6678","","","publish","0","2022-04-03 19:27:44","0","1","open","2451000","no","no","visible","100","instock","no","yes","139.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Sous-Vide Garer","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA 2968 Sandwich-Toaster","sa-2968-sandwich-toaster","6681","","","publish","0","2022-04-03 19:27:44","0","1","open","2968000","no","no","visible","100","instock","no","yes","59.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Sandwich Maker","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA 2969 Sandwich-Toaster","sa-2969-sandwich-toaster","6684","","","publish","0","2022-04-03 19:27:44","0","1","open","2969000","no","no","visible","100","instock","no","yes","32.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Sandwich Maker","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EG 3513 Ersatzgläser für Joghurtbereiter - Deckel Weiss","eg-3513-ersatzglaeser-fuer-joghurtbereiter-deckel-weiss","6687","","","publish","0","2022-04-03 19:27:44","0","1","open","3513000","no","no","visible","100","instock","no","yes","18.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Joghurt Maker &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EG 3514 Ersatzgläser für Joghurtbereiter - Deckel Schwarz","eg-3514-ersatzglaeser-fuer-joghurtbereiter-deckel-schwarz","6690","","","publish","0","2022-04-03 19:27:45","0","1","open","3514000","no","no","visible","100","instock","no","yes","18.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Joghurt Maker &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG 3518 Joghurtbereiter","jg-3518-joghurtbereiter","6693","","","publish","0","2022-04-03 19:27:45","0","1","open","3518000","no","no","visible","100","instock","no","yes","34.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Joghurt Maker &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG 3520 Joghurtbereiter","jg-3520-joghurtbereiter","6696","","","publish","0","2022-04-03 19:27:45","0","1","open","3520000","no","no","visible","100","instock","no","yes","44.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Joghurt Maker &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG 3521 Digitaler Joghurtbereiter mit Automatikprogrammen","jg-3521-digitaler-joghurtbereiter-mit-automatikprogrammen","6699","","","publish","0","2022-04-03 19:27:45","0","1","open","3521000","no","no","visible","100","instock","no","yes","59.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Joghurt Maker &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FS 3601 Kompakt-Vakuumiergerät","fs-3601-kompakt-vakuumiergeraet","6702","","","publish","0","2022-04-03 19:27:45","0","1","open","3601000","no","no","visible","100","instock","no","yes","69.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FS 3604 Folienschweißgerät","fs-3604-folienschweissgeraet","6705","","","publish","0","2022-04-03 19:27:45","0","1","open","3604000","no","no","visible","100","instock","no","yes","34.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZU 3608 Ersatzfolie","zu-3608-ersatzfolie","6708","","","publish","0","2022-04-03 19:27:46","0","1","open","3608000","no","no","visible","100","instock","no","yes","12.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FS 3610 Vakuumiergerät","fs-3610-vakuumiergeraet","6711","","","publish","0","2022-04-03 19:27:46","0","1","open","3610000","no","no","visible","100","instock","no","yes","59.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FS 3611 Premium-Vakuumiergerät","fs-3611-premium-vakuumiergeraet","6714","","","publish","0","2022-04-03 19:27:46","0","1","open","3611000","no","no","visible","100","instock","no","yes","99.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3613 Vakuumierbeutel 16 x 25 cm","zb-3613-vakuumierbeutel-16-x-25-cm","6717","","","publish","0","2022-04-03 19:27:46","0","1","open","3613000","no","no","visible","100","instock","no","yes","0","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3614 Vakuumierbeutel 20 x 30 cm","zb-3614-vakuumierbeutel-20-x-30-cm","6720","","","publish","0","2022-04-03 19:27:46","0","1","open","3614000","no","no","visible","100","instock","no","yes","15.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3615 Vakuumierbeutel 30 x 40 cm","zb-3615-vakuumierbeutel-30-x-40-cm","6723","","","publish","0","2022-04-03 19:27:46","0","1","open","3615000","no","no","visible","100","instock","no","yes","24.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3616 Vakuumierrollen 20 x 600 cm","zb-3616-vakuumierrollen-20-x-600-cm","6726","","","publish","0","2022-04-03 19:27:46","0","1","open","3616000","no","no","visible","100","instock","no","yes","17.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3617 Vakuumierrollen 30 x 600 cm","zb-3617-vakuumierrollen-30-x-600-cm","6729","","","publish","0","2022-04-03 19:27:46","0","1","open","3617000","no","no","visible","100","instock","no","yes","0","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3618 Vakuumierbehälter 0,75 & 1,5 l","zb-3618-vakuumierbehaelter-075-15-l","6732","","","publish","0","2022-04-03 19:27:46","0","1","open","3618000","no","no","visible","100","instock","no","yes","44.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3619 Zip-Vakuumierbeutel Vorteilspaket","zb-3619-zip-vakuumierbeutel-vorteilspaket","6735","","","publish","0","2022-04-03 19:27:46","0","1","open","3619000","no","no","visible","100","instock","no","yes","34.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3620 Vakuumierbehälter 2 x 0,75l","zb-3620-vakuumierbehaelter-2-x-075l","6738","","","publish","0","2022-04-03 19:27:47","0","1","open","3620000","no","no","visible","100","instock","no","yes","34.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 3625 Vakuumierbeutel Vorteilspaket","zb-3625-vakuumierbeutel-vorteilspaket","6741","","","publish","0","2022-04-03 19:27:47","0","1","open","3625000","no","no","visible","100","instock","no","yes","24.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Vakuumierer &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KM 3892 Multifunktionale Küchenmaschine","km-3892-multifunktionale-kuechenmaschine","6744","","","publish","0","2022-04-03 19:27:47","0","1","open","3892000","no","no","visible","100","instock","no","yes","139.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Küchenmaschinen &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KM 3896 Küchenmaschine - Grün Limited Edition","km-3896-kuechenmaschine-gruen-limited-edition","6747","","","publish","0","2022-04-03 19:27:47","0","1","open","3896000","no","no","visible","100","instock","no","yes","249","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Küchenmaschinen &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KM 3897 Küchenmaschine - Schwarz","km-3897-kuechenmaschine-schwarz","6750","","","publish","0","2022-04-03 19:27:47","0","1","open","3897000","no","no","visible","100","instock","no","yes","249","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Küchenmaschinen &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 5591 Fleischwolf-Aufsatz","zb-5591-fleischwolf-aufsatz","6753","","","publish","0","2022-04-03 19:27:47","0","1","open","5591000","no","no","visible","100","instock","no","yes","59.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Küchenmaschinen &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 5592 Multizerkleinerer-Aufsatz","zb-5592-multizerkleinerer-aufsatz","6756","","","publish","0","2022-04-03 19:27:47","0","1","open","5592000","no","no","visible","100","instock","no","yes","44.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Küchenmaschinen &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB 5593 Standmixer-Aufsatz","zb-5593-standmixer-aufsatz","6759","","","publish","0","2022-04-03 19:27:48","0","1","open","5593000","no","no","visible","100","instock","no","yes","59.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Küchenmaschinen &amp; Zubehör","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZ 7405 2in1 Eismaschine mit Joghurtfunktion","ez-7405-2in1-eismaschine-mit-joghurtfunktion","6762","","","publish","0","2022-04-03 19:27:48","0","1","open","7405000","no","no","visible","100","instock","no","yes","349","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eismaschinen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZ 7406 2in1 Eismaschine mit Joghurtfunktion und 2 Eisbehältern","ez-7406-2in1-eismaschine-mit-joghurtfunktion-und-2-eisbehaeltern","6765","","","publish","0","2022-04-03 19:27:48","0","1","open","7406000","no","no","visible","100","instock","no","yes","379","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eismaschinen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZ 7407 Kompakt Eismaschine & Joghurtbereiter","ez-7407-kompakt-eismaschine-joghurtbereiter","6768","","","publish","0","2022-04-03 19:27:48","0","1","open","7407000","no","no","visible","100","instock","no","yes","289","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Eismaschinen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7751 Mikrowelle mit Grillfunktion 2in1","mw-7751-mikrowelle-mit-grillfunktion-2in1","6771","","","publish","0","2022-04-03 19:27:48","0","1","open","7751000","no","no","visible","100","instock","no","yes","169.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7752 Mikrowelle mit Grill- und Heißluftfunktion 3in1 - Schwarz","mw-7752-mikrowelle-mit-grill-und-heissluftfunktion-3in1-schwarz","6774","","","publish","0","2022-04-03 19:27:48","0","1","open","7752000","no","no","visible","100","instock","no","yes","199.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7753 Mikrowelle mit Grill- und Heißluftfunktion 3in1 - Edelstahl","mw-7753-mikrowelle-mit-grill-und-heissluftfunktion-3in1-edelstahl","6777","","","publish","0","2022-04-03 19:27:48","0","1","open","7753000","no","no","visible","100","instock","no","yes","209","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7754 Mikrowelle mit Grill und Ultra-Heißluftfunktion 3in1","mw-7754-mikrowelle-mit-grill-und-ultra-heissluftfunktion-3in1","6780","","","publish","0","2022-04-03 19:27:48","0","1","open","7754000","no","no","visible","100","instock","no","yes","199.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7755 Inverter-Mikrowelle mit Grill und Heißluftfunktion 3in1","mw-7755-inverter-mikrowelle-mit-grill-und-heissluftfunktion-3in1","6783","","","publish","0","2022-04-03 19:27:48","0","1","open","7755000","no","no","visible","100","instock","no","yes","229","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7756 Solo Mikrowelle","mw-7756-solo-mikrowelle","6786","","","publish","0","2022-04-03 19:27:48","0","1","open","7756000","no","no","visible","100","instock","no","yes","169.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7759 4in1 Mikrowelle mit Doppelgrill / Pizza-Express Funktion","mw-7759-4in1-mikrowelle-mit-doppelgrill-pizza-express-funktion","6789","","","publish","0","2022-04-03 19:27:49","0","1","open","7759000","no","no","visible","100","instock","no","yes","229","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7761 Solo Mikrowelle mit Keramikboden","mw-7761-solo-mikrowelle-mit-keramikboden","6792","","","publish","0","2022-04-03 19:27:49","0","1","open","7761000","no","no","visible","100","instock","no","yes","149.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7762 2in1 Mikrowelle mit Keramikboden und Grill","mw-7762-2in1-mikrowelle-mit-keramikboden-und-grill","6795","","","publish","0","2022-04-03 19:27:49","0","1","open","7762000","no","no","visible","100","instock","no","yes","159.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7763 2in1 Mikrowelle mit Keramikboden und Grill","mw-7763-2in1-mikrowelle-mit-keramikboden-und-grill","6798","","","publish","0","2022-04-03 19:27:49","0","1","open","7763000","no","no","visible","100","instock","no","yes","199.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7825 Mikrowelle mit Grill- und Heißluftfunktion 3in1","mw-7825-mikrowelle-mit-grill-und-heissluftfunktion-3in1","6801","","","publish","0","2022-04-03 19:27:49","0","1","open","7825000","no","no","visible","100","instock","no","yes","219","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7862 Mikrowelle","mw-7862-mikrowelle","6804","","","publish","0","2022-04-03 19:27:49","0","1","open","7862000","no","no","visible","100","instock","no","yes","119.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7865 Mikrowelle mit Grill- und Heißluftfunktion 3in1","mw-7865-mikrowelle-mit-grill-und-heissluftfunktion-3in1","6807","","","publish","0","2022-04-03 19:27:49","0","1","open","7865000","no","no","visible","100","instock","no","yes","119.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7873 Mikrowelle","mw-7873-mikrowelle","6810","","","publish","0","2022-04-03 19:27:49","0","1","open","7873000","no","no","visible","100","instock","no","yes","149.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7874 Mikrowelle mit Grillfunktion 2in1","mw-7874-mikrowelle-mit-grillfunktion-2in1","6813","","","publish","0","2022-04-03 19:27:50","0","1","open","7874000","no","no","visible","100","instock","no","yes","139.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7875 Mikrowelle mit Grillfunktion 2in1","mw-7875-mikrowelle-mit-grillfunktion-2in1","6816","","","publish","0","2022-04-03 19:27:50","0","1","open","7875000","no","no","visible","100","instock","no","yes","129.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7890-142 Mikrowelle","mw-7890-142-mikrowelle","6819","","","publish","0","2022-04-03 19:27:50","0","1","open","7890000","no","no","visible","100","instock","no","yes","99.99","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW 7891 Mikrowelle mit Grillfunktion 2in1","mw-7891-mikrowelle-mit-grillfunktion-2in1","6822","","","publish","0","2022-04-03 19:27:50","0","1","open","7891000","no","no","visible","100","instock","no","yes","119.9","","","","","","taxable","standard","","","no","","","","","","","","","","","","","de-de","","simple","exclude_from_catalog|exclude_from_search","Küche > Kochen > Mikrowellen","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
